Number;Firstname;Surname;Birthday;Gender;Club;Nation;Type;Class;Starttime;Finish;RankValue;ExitStatus;Rank;RankPoints;Participated;ContestantId;Team;TotalPoints;TotalTime;TotalTimeFormatted;TotalDiffTimeFormatted;BonusSeconds;ClassId;Norges Cup 2/Junior Cup 1 Normal-Points;Norges Cup 2/Junior Cup 1 Normal-Time;Norges Cup 2/Junior Cup 1 Normal-TimeFormatted;Norges Cup 2/Junior Cup 1 Normal-DiffTimeFormatted;Norges Cup 2/Junior Cup 1 Sprint-Points;Norges Cup 2/Junior Cup 1 Sprint-Time;Norges Cup 2/Junior Cup 1 Sprint-TimeFormatted;Norges Cup 2/Junior Cup 1 Sprint-DiffTimeFormatted;Norges Cup 5 Normal (NM for jr.)-Points;Norges Cup 5 Normal (NM for jr.)-Time;Norges Cup 5 Normal (NM for jr.)-TimeFormatted;Norges Cup 5 Normal (NM for jr.)-DiffTimeFormatted;Norges Cup 5 Sprint-Points;Norges Cup 5 Sprint-Time;Norges Cup 5 Sprint-TimeFormatted;Norges Cup 5 Sprint-DiffTimeFormatted;Norges Cup 4 Sprint-Points;Norges Cup 4 Sprint-Time;Norges Cup 4 Sprint-TimeFormatted;Norges Cup 4 Sprint-DiffTimeFormatted;NM Junior / NC 6 Senior  Fellesstart-Points;NM Junior / NC 6 Senior  Fellesstart-Time;NM Junior / NC 6 Senior  Fellesstart-TimeFormatted;NM Junior / NC 6 Senior  Fellesstart-DiffTimeFormatted;NM Junior / NC 6 Senior  Sprint-Points;NM Junior / NC 6 Senior  Sprint-Time;NM Junior / NC 6 Senior  Sprint-TimeFormatted;NM Junior / NC 6 Senior  Sprint-DiffTimeFormatted;Norges Cup finale junior og ungdom fellesstart-Points;Norges Cup finale junior og ungdom fellesstart-Time;Norges Cup finale junior og ungdom fellesstart-TimeFormatted;Norges Cup finale junior og ungdom fellesstart-DiffTimeFormatted;Norges Cup 4 Sprint Søndag-Points;Norges Cup 4 Sprint Søndag-Time;Norges Cup 4 Sprint Søndag-TimeFormatted;Norges Cup 4 Sprint Søndag-DiffTimeFormatted;Norges Cup 2 junior, fellesstart / Norgescup 1 ungdom, fellesstart og sprint-Points;Norges Cup 2 junior, fellesstart / Norgescup 1 ungdom, fellesstart og sprint-Time;Norges Cup 2 junior, fellesstart / Norgescup 1 ungdom, fellesstart og sprint-TimeFormatted;Norges Cup 2 junior, fellesstart / Norgescup 1 ungdom, fellesstart og sprint-DiffTimeFormatted;NM senior del 1 / Norges Cup 3 senior, sprint og fellesstart / Norges Cup 2 junior, sprint-Points;NM senior del 1 / Norges Cup 3 senior, sprint og fellesstart / Norges Cup 2 junior, sprint-Time;NM senior del 1 / Norges Cup 3 senior, sprint og fellesstart / Norges Cup 2 junior, sprint-TimeFormatted;NM senior del 1 / Norges Cup 3 senior, sprint og fellesstart / Norges Cup 2 junior, sprint-DiffTimeFormatted
11;Andrine Øverland;Hatling;0;f;Fana IL;NO;Serie;K20-21;00:00:00.000;Mål;196.0;OK;11;0;9;694440;;196.0;17623000;4:53:43.00;29:29.280;0;544811;NOR;11.0;2834440;47:14.4;6:41.1;36.0;1504000;25:04.0;0:59.3;16.0;2423900;40:23.9;5:07.8;2.0;1451610;24:11.6;3:28.5;11.0;1803450;30:03.45;3:37.78;12.0;1996700;33:16.7;3:17.8;7.0;1490700;24:50.7;2:28.5;19.0;2118800;35:18;4:28;50.0;1531910;25:31.9;0:00.0;19.0;2009200;33:29;2:30;22.0;1400600;23:20;1:02
12;Marte Lien;Johnsen;0;f;Byåsen Skiskytterlag;NO;Serie;K20-21;00:00:00.000;Mål;191.0;OK;12;0;9;415171;Trondheim Biathlon Team;191.0;16879890;4:41:19.89;17:06.170;0;544811;NOR;17.0;2778980;46:18.9;5:45.6;17.0;1621500;27:01.5;2:56.8;20.0;2376000;39:36.0;4:19.9;15.0;1352830;22:32.8;1:49.7;22.0;1730010;28:50.01;2:24.34;24.0;1915900;31:55.9;1:57.0;20.0;1420500;23:40.5;1:18.3;24.0;1958500;32:38;1:48;29.0;1647000;27:27.0;1:55.1;8.0;2118400;35:18;4:19;18.0;1431500;23:51;1:33
13;Frida;Dahl;0;f;Steinkjer Skiklubb;NO;Serie;K20-21;00:00:00.000;Mål;182.0;OK;13;0;9;3033310;Trondheim Biathlon Team;182.0;17471300;4:51:11.30;26:57.580;0;544811;NOR;14.0;2814260;46:54.2;6:20.9;6.0;1688500;28:08.5;4:03.8;12.0;2456800;40:56.8;5:40.7;5.0;1389640;23:09.6;2:26.5;45.0;1652960;27:32.96;1:07.29;22.0;1924300;32:04.3;2:05.4;17.0;1442600;24:02.6;1:40.4;21.0;2009300;33:29;2:39;16.0;1699980;28:19.9;2:48.0;15.0;2043600;34:03;3:04;20.0;1427500;23:47;1:29
14;Stina;Brattegard;0;f;Ål Skiskyttarlag;NO;Serie;K20-21;00:00:00.000;Mål;170.0;OK;14;0;9;694726;Team Woodcon;170.0;16485850;4:34:45.85;10:32.130;0;544811;NOR;1.0;2985370;49:45.3;9:12.0;10.0;1650400;27:30.4;3:25.7;10.0;2476900;41:16.9;6:00.8;9.0;1373220;22:53.2;2:10.1;20.0;1736960;28:56.96;2:31.29;20.0;1932200;32:12.2;2:13.3;15.0;1451900;24:11.9;1:49.7;18.0;2220200;37:00;6:10;45.0;1544290;25:44.2;0:12.3;18.0;2013800;33:33;2:34;14.0;1459200;24:19;2:01
15;Ane Einbu;Baugerød;0;f;IL Bevern;NO;Serie;K20-21;00:00:00.000;Mål;163.0;OK;15;0;7;3132863;Team Woodcon;163.0;12797820;3:33:17.82;Mangler 2;0;544811;NOR;29.0;2717330;45:17.3;4:44.0;29.0;1514400;25:14.4;1:09.7;24.0;2337200;38:57.2;3:41.1;40.0;1255510;20:55.5;0:12.4;21.0;1730080;28:50.08;2:24.41;;;;;;;;;;;;;14.0;1712000;28:32.0;3:00.1;;;;;6.0;1531300;25:31;3:13
16;Kristina Hipolan;Bergmann;0;f;Drangedal Idrettslag - Skiskyting;NO;Serie;K20-21;00:00:00.000;Mål;152.0;OK;16;0;9;3545375;Sirdal Ski;152.0;17320260;4:48:40.26;24:26.540;0;544811;NOR;19.0;2761740;46:01.7;5:28.4;2.0;1772600;29:32.6;5:27.9;13.0;2454100;40:54.1;5:38.0;0.0;1458330;24:18.3;3:35.2;19.0;1741260;29:01.26;2:35.59;3.0;2075000;34:35.0;4:36.1;40.0;1368500;22:48.5;0:26.3;;;;;18.0;1688060;28:08.0;2:36.1;14.0;2059100;34:19;3:20;24.0;1399900;23:19;1:01
17;Ine;Skjellum;0;f;Søndre Ål Sportsklubb;NO;Serie;K20-21;00:00:00.000;Mål;141.0;OK;17;0;9;3033332;Team Lygna skiskyting;141.0;15784930;4:23:04.93;1:08.790;0;544811;NOR;0.0;3025330;50:25.3;9:52.0;22.0;1578800;26:18.8;2:14.1;19.0;2385900;39:45.9;4:29.8;4.0;1415770;23:35.7;2:52.6;32.0;1664720;27:44.72;1:19.05;13.0;1990600;33:10.6;3:11.7;3.0;1514500;25:14.5;2:52.3;;;;;26.0;1649240;27:29.2;1:57.3;11.0;2103000;35:03;4:04;11.0;1482400;24:42;2:24
18;Ingrid Kristine;Wright-Hagen;0;f;Åsnes Skiskytterlag;NO;Serie;K20-21;00:00:00.000;Mål;127.0;OK;18;0;9;3799351;Team Woodcon;127.0;17280860;4:48:00.86;23:47.140;0;544811;NOR;16.0;2781140;46:21.1;5:47.8;21.0;1601200;26:41.2;2:36.5;7.0;2525300;42:05.3;6:49.2;12.0;1365500;22:45.5;2:02.4;12.0;1803410;30:03.41;3:37.74;11.0;1999200;33:19.2;3:20.3;6.0;1490800;24:50.8;2:28.6;;;;;20.0;1681210;28:01.2;2:29.3;13.0;2066900;34:26;3:27;15.0;1457000;24:17;1:59
19;Tora Eid;Løvås;0;f;Trondhjems Skiskyttere;NO;Serie;K20-21;00:00:00.000;Mål;126.0;OK;19;0;9;461528;Trondheim Biathlon Team;126.0;16808830;4:40:08.83;15:55.110;0;544811;NOR;0.0;2995610;49:55.6;9:22.3;13.0;1634200;27:14.2;3:09.5;11.0;2475700;41:15.7;5:59.6;0.0;1487060;24:47.0;4:03.9;24.0;1691060;28:11.06;1:45.39;0.0;2096900;34:56.9;4:58.0;9.0;1480700;24:40.7;2:18.5;;;;;36.0;1582000;26:22.0;0:50.1;21.0;1988700;33:08;2:09;12.0;1473800;24:33;2:15
20;Silje;Fosse;0;f;Voss Skiskytterlag;NO;Serie;K20-21;00:00:00.000;Mål;119.0;OK;20;0;9;582471;;119.0;17388080;4:49:48.08;25:34.360;0;544811;NOR;4.0;2962370;49:22.3;8:49.0;15.0;1622700;27:02.7;2:58.0;14.0;2446300;40:46.3;5:30.2;21.0;1310700;21:50.7;1:07.6;16.0;1786000;29:46.00;3:20.33;1.0;2085700;34:45.7;4:46.8;0.0;1586900;26:26.9;4:04.7;;;;;12.0;1722010;28:42.0;3:10.1;20.0;2009000;33:29;2:30;16.0;1443300;24:03;1:45
21;Ingrid;Nordbotten;0;f;Sandnes Skiskytterlag;NO;Serie;K20-21;00:00:00.000;Mål;109.0;OK;21;0;9;694463;Sirdal Ski;109.0;16953120;4:42:33.12;18:19.400;0;544811;NOR;8.0;2848250;47:28.2;6:54.9;24.0;1539600;25:39.6;1:34.9;2.0;2700200;45:00.2;9:44.1;18.0;1342530;22:22.5;1:39.4;18.0;1746860;29:06.86;2:41.19;2.0;2083000;34:43.0;4:44.1;13.0;1463500;24:23.5;2:01.3;;;;;22.0;1670180;27:50.1;2:18.2;;;;;2.0;1559000;25:59;3:41
22;Andrine Håstul;Flom;0;f;Drangedal Idrettslag - Skiskyting;NO;Serie;K20-21;00:00:00.000;Mål;103.0;OK;22;0;8;345261;Team TeVe;103.0;15276770;4:14:36.77;Mangler 1;0;544811;NOR;9.0;2846710;47:26.7;6:53.4;19.0;1612400;26:52.4;2:47.7;21.0;2374200;39:34.2;4:18.1;13.0;1365440;22:45.4;2:02.3;14.0;1798780;29:58.78;3:33.11;9.0;2033400;33:53.4;3:54.5;8.0;1481100;24:41.1;2:18.9;;;;;10.0;1764740;29:24.7;3:52.8;;;;;;;;
23;Emma Krogh;Pedersen;0;f;Bardu IL;NO;Serie;K20-21;00:00:00.000;Mål;98.0;OK;23;0;9;2821543;;98.0;17577050;4:52:57.05;28:43.330;0;544811;NOR;13.0;2828110;47:08.1;6:34.8;11.0;1642000;27:22.0;3:17.3;6.0;2548500;42:28.5;7:12.4;16.0;1347870;22:27.8;1:44.7;17.0;1771360;29:31.36;3:05.69;7.0;2047500;34:07.5;4:08.6;0.0;1549600;25:49.6;3:27.4;;;;;11.0;1758910;29:18.9;3:47.0;7.0;2132200;35:32;4:33;10.0;1500600;25:00;2:42
24;Amalie Kristine;Triumf;0;f;Nordreisa IL;NO;Serie;K20-21;00:00:00.000;Mål;95.0;OK;24;0;9;941444;Nordreisa vgs;95.0;17513630;4:51:53.63;27:39.910;0;544811;NOR;6.0;2884280;48:04.2;7:30.9;5.0;1692500;28:12.5;4:07.8;22.0;2360700;39:20.7;4:04.6;17.0;1345330;22:25.3;1:42.2;10.0;1832510;30:32.51;4:06.84;6.0;2049300;34:09.3;4:10.4;0.0;1544300;25:44.3;3:22.1;;;;;24.0;1668810;27:48.8;2:16.9;5.0;2135900;35:35;4:36;0.0;1667600;27:47;5:29
25;Kristin;SANDE;0;f;Kvam Langrenn- og Skiskyttarklubb;NO;Serie;K20-21;00:00:00.000;Mål;94.0;OK;25;0;8;581396;Team Maxim;94.0;15453530;4:17:33.53;Mangler 1;0;544811;NOR;21.0;2745950;45:45.9;5:12.6;16.0;1621800;27:01.8;2:57.1;3.0;2643700;44:03.7;8:47.6;10.0;1367980;22:47.9;2:04.8;;;;;14.0;1976000;32:56.0;2:57.1;16.0;1444700;24:04.7;1:42.5;;;;;;;;;9.0;2113200;35:13;4:14;5.0;1540200;25:40;3:22
26;Katinka Dorothea Rayner-Battle;Kleveland;0;f;Birkenes IL;NO;Serie;K20-21;00:00:00.000;Mål;90.0;OK;26;0;8;4711725;;90.0;15139860;4:12:19.86;Mangler 1;0;544811;NOR;20.0;2747350;45:47.3;5:14.0;14.0;1632500;27:12.5;3:07.8;;;;;;;;;9.0;1843960;30:43.96;4:18.29;17.0;1959000;32:39.0;2:40.1;11.0;1475400;24:35.4;2:13.2;;;;;9.0;1803250;30:03.2;4:31.3;3.0;2156200;35:56;4:57;7.0;1522200;25:22;3:04
27;Guro Hennissen;Hermann;0;f;Stiklestad IL;NO;Serie;K20-21;00:00:00.000;Mål;69.0;OK;27;0;9;941147;Steinkjer vgs;69.0;18043730;5:00:43.73;36:30.010;0;544811;NOR;3.0;2964370;49:24.3;8:51.0;7.0;1686700;28:06.7;4:02.0;0.0;3004700;50:04.7;14:48.6;0.0;1455120;24:15.1;3:32.0;26.0;1687640;28:07.64;1:41.97;0.0;2137000;35:37.0;5:38.1;24.0;1404600;23:24.6;1:02.4;;;;;;;;;1.0;2187900;36:27;5:28;8.0;1515700;25:15;2:57
28;Sigrid Bredde;VIG;0;f;Drammen Strong;NO;Serie;K20-21;00:00:00.000;Mål;61.0;OK;28;0;5;1948976;;61.0;9146500;2:32:26.50;Mangler 4;0;544811;NOR;;;;;;;;;8.0;2519800;41:59.8;6:43.7;22.0;1301040;21:41.0;0:57.9;15.0;1793360;29:53.36;3:27.69;4.0;2066400;34:26.4;4:27.5;12.0;1465900;24:25.9;2:03.7;;;;;;;;;;;;;;;;
29;Nora Landerud;Svingen;0;f;Svene IL;NO;Serie;K20-21;00:00:00.000;Mål;57.0;OK;29;0;9;1943442;Team Geilo;57.0;17825700;4:57:05.70;32:51.980;0;544811;NOR;7.0;2876040;47:56.0;7:22.7;;;;;18.0;2401500;40:01.5;4:45.4;7.0;1383440;23:03.4;2:20.3;0.0;1992030;33:12.03;6:46.36;8.0;2037500;33:57.5;3:58.6;2.0;1530300;25:30.3;3:08.1;;;;;2.0;1946790;32:26.7;6:54.8;10.0;2105900;35:05;4:06;3.0;1552200;25:52;3:34
30;Ingrid Stølan;Husøy;0;f;Molde og Omegn IF;NO;Serie;K20-21;00:00:00.000;Mål;53.0;OK;30;0;9;4077222;;53.0;17974790;4:59:34.79;35:21.070;0;544811;NOR;12.0;2833720;47:13.7;6:40.4;0.0;1810500;30:10.5;6:05.8;9.0;2510400;41:50.4;6:34.3;0.0;1487640;24:47.6;4:04.5;8.0;1847970;30:47.97;4:22.30;5.0;2050200;34:10.2;4:11.3;0.0;1574100;26:14.1;3:51.9;;;;;17.0;1697760;28:17.7;2:45.8;2.0;2162500;36:02;5:03;0.0;1602400;26:42;4:24
31;Vilde Hagen;Friis;0;f;Ål Skiskyttarlag;NO;Serie;K20-21;00:00:00.000;Mål;52.0;OK;31;0;4;4080649;;52.0;7045060;1:57:25.06;Mangler 5;0;544811;NOR;;;;;;;;;;;;;;;;;7.0;1848110;30:48.11;4:22.44;;;;;;;;;;;;;15.0;1700050;28:20.0;2:48.1;17.0;2033800;33:53;2:54;13.0;1463100;24:23;2:05
32;Tori;Angell;0;f;Odda IL;NO;Serie;K20-21;00:00:00.000;Mål;50.0;OK;32;0;6;813151;Team Glalaks;50.0;12146130;3:22:26.13;Mangler 3;0;544811;NOR;5.0;2936640;48:56.6;8:23.3;20.0;1609800;26:49.8;2:45.1;1.0;2701400;45:01.4;9:45.3;20.0;1311790;21:51.7;1:08.6;;;;;0.0;2089000;34:49.0;4:50.1;4.0;1497500;24:57.5;2:35.3;;;;;;;;;;;;;;;;
33;Hildegunn;Vekseth;0;f;Snåsa Skiskytterlag;NO;Serie;K20-21;00:00:00.000;Mål;45.0;OK;33;0;8;2177843;Steinkjer vgs;45.0;16170630;4:29:30.63;Mangler 1;0;544811;NOR;0.0;3126330;52:06.3;11:33.0;3.0;1733300;28:53.3;4:48.6;4.0;2595000;43:15.0;7:58.9;8.0;1375870;22:55.8;2:12.7;0.0;2027600;33:47.60;7:21.93;10.0;2007500;33:27.5;3:28.6;14.0;1458900;24:18.9;1:56.7;;;;;6.0;1846130;30:46.1;5:14.2;;;;;;;;
34;Line;Sølberg;0;f;Leik, IL;NO;Serie;K20-21;00:00:00.000;Mål;29.0;OK;34;0;6;525728;Trondheim Biathlon Team;29.0;12147440;3:22:27.44;Mangler 3;0;544811;NOR;15.0;2810560;46:50.5;6:17.2;0.0;1810900;30:10.9;6:06.2;;;;;;;;;6.0;1900550;31:40.55;5:14.88;0.0;2212400;36:52.4;6:53.5;0.0;1595600;26:35.6;4:13.4;;;;;8.0;1817430;30:17.4;4:45.5;;;;;;;;
35;Marie Henriksen;Langseth;0;f;Nordreisa IL;NO;Serie;K20-21;00:00:00.000;Mål;27.0;OK;35;0;4;694712;;27.0;7394400;2:03:14.40;Mangler 5;0;544811;NOR;;;;;;;;;;;;;;;;;3.0;1941860;32:21.86;5:56.19;;;;;;;;;;;;;3.0;1877540;31:17.5;5:45.6;12.0;2071000;34:31;3:32;9.0;1504000;25:04;2:46
36;Zoe;Pekos;0;f;Foreign Citizen;CA;Serie;K20-21;00:00:00.000;Mål;26.0;OK;36;0;2;4797676;;26.0;3449200;57:29.20;Mangler 7;0;544811;CAN;;;;;;;;;;;;;;;;;;;;;16.0;1971700;32:51.7;2:52.8;10.0;1477500;24:37.5;2:15.3;;;;;;;;;;;;;;;;
37;Kristin;Mestad;0;f;Torridal IL - skiskyting;NO;Serie;K20-21;00:00:00.000;Mål;22.0;OK;37;0;9;4205060;Sirdal Ski;22.0;18528980;5:08:48.98;44:35.260;0;544811;NOR;2.0;2967440;49:27.4;8:54.1;4.0;1719100;28:39.1;4:34.4;5.0;2586600;43:06.6;7:50.5;3.0;1418210;23:38.2;2:55.1;0.0;2059240;34:19.24;7:53.57;0.0;2155400;35:55.4;5:56.5;0.0;1604800;26:44.8;4:22.6;;;;;4.0;1869690;31:09.6;5:37.7;4.0;2148500;35:48;4:49;0.0;1669000;27:49;5:31
38;Larissa;Black;0;f;Foreign Citizen;CA;Serie;K20-21;00:00:00.000;Mål;20.0;OK;38;0;2;4797677;;20.0;3468300;57:48.30;Mangler 7;0;544811;CAN;;;;;;;;;;;;;;;;;;;;;15.0;1975500;32:55.5;2:56.6;5.0;1492800;24:52.8;2:30.6;;;;;;;;;;;;;;;;
39;Idunn Raade;Olsen;0;f;Tromsø Skiskytterlag;NO;Serie;K20-21;00:00:00.000;Mål;18.0;OK;39;0;4;694473;Team Troms & Finnmark;18.0;7513150;2:05:13.15;Mangler 5;0;544811;NOR;;;;;;;;;;;;;;;;;5.0;1916650;31:56.65;5:30.98;0.0;2232900;37:12.9;7:14.0;0.0;1645000;27:25.0;5:02.8;;;;;13.0;1718600;28:38.6;3:06.7;;;;;;;;
