Number;Firstname;Surname;Birthday;Gender;Club;Nation;Type;Class;Starttime;Finish;RankValue;ExitStatus;Rank;RankPoints;Participated;ContestantId;Team;TotalPoints;TotalTime;TotalTimeFormatted;TotalDiffTimeFormatted;BonusSeconds;ClassId;Lerøy Cup Senior 2/Junior Cup 1 Sprint-Points;Lerøy Cup Senior 2/Junior Cup 1 Sprint-Time;Lerøy Cup Senior 2/Junior Cup 1 Sprint-TimeFormatted;Lerøy Cup Senior 2/Junior Cup 1 Sprint-DiffTimeFormatted;Lerøy Cup Senior 2/Junior Cup 1 Normal-Points;Lerøy Cup Senior 2/Junior Cup 1 Normal-Time;Lerøy Cup Senior 2/Junior Cup 1 Normal-TimeFormatted;Lerøy Cup Senior 2/Junior Cup 1 Normal-DiffTimeFormatted;Lerøy Cup Senior 3/Junior 2 Fellesstart-Points;Lerøy Cup Senior 3/Junior 2 Fellesstart-Time;Lerøy Cup Senior 3/Junior 2 Fellesstart-TimeFormatted;Lerøy Cup Senior 3/Junior 2 Fellesstart-DiffTimeFormatted;Lerøy Cup Senior 3/ Junior 2 Sprint-Points;Lerøy Cup Senior 3/ Junior 2 Sprint-Time;Lerøy Cup Senior 3/ Junior 2 Sprint-TimeFormatted;Lerøy Cup Senior 3/ Junior 2 Sprint-DiffTimeFormatted;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 Sprint-Points;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 Sprint-Time;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 Sprint-TimeFormatted;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 Sprint-DiffTimeFormatted;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 jaktstart-Points;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 jaktstart-Time;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 jaktstart-TimeFormatted;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 jaktstart-DiffTimeFormatted;NM junior/ungdom Normal / Lerøy cup 5 senior Normal-Points;NM junior/ungdom Normal / Lerøy cup 5 senior Normal-Time;NM junior/ungdom Normal / Lerøy cup 5 senior Normal-TimeFormatted;NM junior/ungdom Normal / Lerøy cup 5 senior Normal-DiffTimeFormatted;Lerøy Cup Senior 5/Junior 4/Ungdom 3 Sprint-Points;Lerøy Cup Senior 5/Junior 4/Ungdom 3 Sprint-Time;Lerøy Cup Senior 5/Junior 4/Ungdom 3 Sprint-TimeFormatted;Lerøy Cup Senior 5/Junior 4/Ungdom 3 Sprint-DiffTimeFormatted;NM Junior - Fellestart - Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-Points;NM Junior - Fellestart - Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-Time;NM Junior - Fellestart - Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-TimeFormatted;NM Junior - Fellestart - Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-DiffTimeFormatted;NM Junior - Sprint- Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-Points;NM Junior - Sprint- Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-Time;NM Junior - Sprint- Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-TimeFormatted;NM Junior - Sprint- Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-DiffTimeFormatted
15;Frida;Dahl;0;f;Steinkjer Skiklubb;NO;Serie;K20-22;00:00:00.000;Mål;174.0;OK;15;0;8;3033310;Trondheim Biathlon Team;174.0;15200820;4:13:20.8;Mangler -1;0;623699;NOR;50.0;1383100;23:03.1;0:00.0;40.0;2597270;43:17.2;0:32.0;6.0;2164780;36:04.7;3:53.2;16.0;1350150;22:30.1;2:05.4;3.0;1556400;25:56.4;3:08.4;11.0;2154500;35:54.5;5:00.0;26.0;2602400;43:22.4;3:39.1;12.0;1482200;24:42.2;2:42.1;7.0;2083200;34:43.2;3:39.8;12.0;1548000;25:48.0;1:54.6
16;Nora Dokken;Berget;0;f;Svene IL;NO;Serie;K20-22;00:00:00.000;Mål;151.0;OK;16;0;8;694855;Team Kongsberg;151.0;15345070;4:15:45.0;Mangler -1;0;623699;NOR;24.0;1448900;24:08.9;1:05.8;26.0;2699290;44:59.2;2:14.0;8.0;2161520;36:01.5;3:50.0;22.0;1314360;21:54.3;1:29.6;26.0;1433300;23:53.3;1:05.3;17.0;2063300;34:23.3;3:28.8;14.0;2748100;45:48.1;6:04.8;14.0;1476300;24:36.3;2:36.2;2.0;2159800;35:59.8;4:56.4;0.0;0;0:00.0;23:53.4
17;Katinka Dorothea Rayner-Battle;Kleveland;0;f;Birkenes IL;NO;Serie;K20-22;00:00:00.000;Mål;141.0;OK;17;0;8;4711725;Sirdal Ski;141.0;14829650;4:07:09.6;Mangler -1;0;623699;NOR;15.0;1488800;24:48.8;1:45.7;13.0;2903280;48:23.2;5:38.0;26.0;2021220;33:41.2;1:29.7;18.0;1339150;22:19.1;1:54.4;15.0;1485500;24:45.5;1:57.5;15.0;2087400;34:47.4;3:52.9;5.0;2883400;48:03.4;8:20.1;0.0;1601000;26:41.0;4:40.9;17.0;2021400;33:41.4;2:38.0;22.0;1482900;24:42.9;0:49.5
18;Oda Støen;Kolkinn;0;f;Søndre Ål Sportsklubb;NO;Serie;K20-22;00:00:00.000;Mål;136.0;OK;18;0;8;4732743;Team Woodcon;136.0;15343250;4:15:43.2;Mangler -1;0;623699;NOR;7.0;1529600;25:29.6;2:26.5;20.0;2751390;45:51.3;3:06.1;0.0;2266960;37:46.9;5:35.4;17.0;1341060;22:21.0;1:56.3;10.0;1502900;25:02.9;2:14.9;19.0;2057500;34:17.5;3:23.0;22.0;2676500;44:36.5;4:53.2;13.0;1477900;24:37.9;2:37.8;18.0;2011900;33:31.9;2:28.5;17.0;1524100;25:24.1;1:30.7
19;Hilde;Fosse;0;f;Voss Skiskytterlag;NO;Serie;K20-22;00:00:00.000;Mål;123.0;OK;19;0;6;581271;;123.0;10355530;2:52:35.5;Mangler 1;0;623699;NOR;;;;;;;;;21.0;2050120;34:10.1;1:58.6;14.0;1354210;22:34.2;2:09.5;24.0;1434300;23:54.3;1:06.3;36.0;1947000;32:27.0;1:32.5;;;;;;;;;21.0;1995200;33:15.2;2:11.8;7.0;1574700;26:14.7;2:21.3
20;Sara;BORCHGREVINK;0;f;Fossum IF;NO;Serie;K20-22;00:00:00.000;Mål;114.0;OK;20;0;8;431925;Holmenkollen Biathlon;114.0;14974890;4:09:34.8;Mangler -1;0;623699;NOR;14.0;1490700;24:50.7;1:47.6;2.0;3020440;50:20.4;7:35.2;29.0;2021060;33:41.0;1:29.5;0.0;1444690;24:04.6;3:39.9;22.0;1436000;23:56.0;1:08.0;24.0;1998800;33:18.8;2:24.3;0.0;3117100;51:57.1;12:13.8;17.0;1459800;24:19.8;2:19.7;6.0;2103400;35:03.4;4:00.0;0.0;1606800;26:46.8;2:53.4
21;Ingrid Kristine;Wright-Hagen;0;f;Åsnes Skiskytterlag;NO;Serie;K20-22;00:00:00.000;Mål;102.0;OK;21;0;8;3799351;Team Woodcon;102.0;15832910;4:23:52.9;Mangler -1;0;623699;NOR;0.0;1564500;26:04.5;3:01.4;8.0;2989010;49:49.0;7:03.8;10.0;2152880;35:52.8;3:41.3;13.0;1359820;22:39.8;2:15.1;13.0;1489200;24:49.2;2:01.2;;;;;12.0;2792100;46:32.1;6:48.8;22.0;1414100;23:34.1;1:34.0;3.0;2147200;35:47.2;4:43.8;21.0;1488600;24:48.6;0:55.2
22;Signe;Hofstad;0;f;Røros IL;NO;Serie;K20-22;00:00:00.000;Mål;98.0;OK;22;0;8;360256;Trondheim Biathlon Team;98.0;15274280;4:14:34.2;Mangler -1;0;623699;NOR;13.0;1492700;24:52.7;1:49.6;3.0;3016340;50:16.3;7:31.1;15.0;2121040;35:21.0;3:09.5;2.0;1442160;24:02.1;3:37.4;14.0;1487700;24:47.7;1:59.7;18.0;2061300;34:21.3;3:26.8;2.0;2891400;48:11.4;8:28.1;6.0;1516600;25:16.6;3:16.5;11.0;2055400;34:15.4;3:12.0;18.0;1523200;25:23.2;1:29.8
23;Ingrid;Nordbotten;0;f;Sandnes Skiskytterlag;NO;Serie;K20-22;00:00:00.000;Mål;94.0;OK;23;0;6;694463;Sirdal Ski;94.0;11281410;3:08:01.4;Mangler 1;0;623699;NOR;20.0;1461000;24:21.0;1:17.9;16.0;2809100;46:49.1;4:03.9;22.0;2044130;34:04.1;1:52.6;11.0;1381080;23:01.0;2:36.3;;;;;;;;;;;;;;;;;15.0;2030700;33:50.7;2:47.3;10.0;1555400;25:55.4;2:02.0
24;Andrine Håstul;Flom;0;f;Drangedal Idrettslag - Skiskyting;NO;Serie;K20-22;00:00:00.000;Mål;86.0;OK;24;0;8;345261;Team TeVe;86.0;15810520;4:23:30.5;Mangler -1;0;623699;NOR;1.0;1558100;25:58.1;2:55.0;22.0;2735930;45:35.9;2:50.7;5.0;2189860;36:29.8;4:18.3;8.0;1389830;23:09.8;2:45.1;2.0;1558800;25:58.8;3:10.8;8.0;2180200;36:20.2;5:25.7;13.0;2754000;45:54.0;6:10.7;19.0;1436300;23:56.3;1:56.2;1.0;2165500;36:05.5;5:02.1;9.0;1565600;26:05.6;2:12.2
25;Kristine Hokseng;Øien;0;f;Oppdal IL;NO;Serie;K20-22;00:00:00.000;Mål;86.0;OK;25;0;8;4190020;;86.0;14451000;4:00:51.0;Mangler -1;0;623699;NOR;18.0;1473400;24:33.4;1:30.3;0.0;3130900;52:10.9;9:25.7;0.0;2263620;37:43.6;5:32.1;9.0;1385900;23:05.9;2:41.2;18.0;1457600;24:17.6;1:29.6;13.0;2107800;35:07.8;4:13.3;9.0;2848300;47:28.3;7:45.0;4.0;1540000;25:40.0;3:39.9;13.0;2038400;33:58.4;2:55.0;2.0;1599600;26:39.6;2:46.2
26;Siri;Aas;0;f;Birkenes IL;NO;Serie;K20-22;00:00:00.000;Mål;74.0;OK;26;0;8;694452;Sirdal Ski;74.0;15391190;4:16:31.1;Mangler -1;0;623699;NOR;0.0;1564400;26:04.4;3:01.3;10.0;2973150;49:33.1;6:47.9;4.0;2199550;36:39.5;4:28.0;15.0;1350590;22:30.5;2:05.8;6.0;1540400;25:40.4;2:52.4;7.0;2193300;36:33.3;5:38.8;0.0;2988000;49:48.0;10:04.7;1.0;1571300;26:11.3;4:11.2;16.0;2026600;33:46.6;2:43.2;15.0;1536300;25:36.3;1:42.9
27;Toril Bakka;Nygård;0;f;Haltdalen IL;NO;Serie;K20-22;00:00:00.000;Mål;73.0;OK;27;0;8;4736748;;73.0;15997580;4:26:37.5;Mangler -1;0;623699;NOR;0.0;1591400;26:31.4;3:28.3;4.0;3002980;50:02.9;7:17.7;0.0;2292550;38:12.5;6:01.0;6.0;1406200;23:26.2;3:01.5;12.0;1499600;24:59.6;2:11.6;16.0;2086800;34:46.8;3:52.3;11.0;2843100;47:23.1;7:39.8;10.0;1497300;24:57.3;2:57.2;8.0;2074200;34:34.2;3:30.8;6.0;1587400;26:27.4;2:34.0
28;Benedicte Stien;Schreiner;0;f;Skonseng UL;NO;Serie;K20-22;00:00:00.000;Mål;69.0;OK;28;0;8;694845;;69.0;15436050;4:17:16.0;Mangler -1;0;623699;NOR;9.0;1517600;25:17.6;2:14.5;1.0;3048340;50:48.3;8:03.1;11.0;2137980;35:37.9;3:26.4;10.0;1383030;23:03.0;2:38.3;19.0;1447000;24:07.0;1:19.0;14.0;2103300;35:03.3;4:08.8;;;;;;;;;0.0;2207300;36:47.3;5:43.9;5.0;1591500;26:31.5;2:38.1
29;Stina;Brattegard;0;f;Ål Skiskyttarlag;NO;Serie;K20-22;00:00:00.000;Mål;62.0;OK;29;0;8;694726;Team Woodcon;62.0;14783630;4:06:23.6;Mangler -1;0;623699;NOR;12.0;1508600;25:08.6;2:05.5;7.0;2989960;49:49.9;7:04.7;12.0;2129310;35:29.3;3:17.8;1.0;1442560;24:02.5;3:37.8;0.0;1604700;26:44.7;3:56.7;0.0;2388300;39:48.3;8:53.8;0.0;2926100;48:46.1;9:02.8;15.0;1473800;24:33.8;2:33.7;14.0;2033100;33:53.1;2:49.7;1.0;1601600;26:41.6;2:48.2
30;Marthe;Dehn;0;f;Bærums Skiklub;NO;Serie;K20-22;00:00:00.000;Mål;61.0;OK;30;0;8;431733;Holmenkollen Biathlon;61.0;15565470;4:19:25.4;Mangler -1;0;623699;NOR;5.0;1543200;25:43.2;2:40.1;0.0;3108090;51:48.0;9:02.8;13.0;2129090;35:29.0;3:17.5;12.0;1370890;22:50.8;2:26.1;0.0;1747400;29:07.4;6:19.4;4.0;2264700;37:44.7;6:50.2;0.0;2899000;48:19.0;8:35.7;9.0;1497700;24:57.7;2:57.6;5.0;2110000;35:10.0;4:06.6;13.0;1541800;25:41.8;1:48.4
31;Ine;Skjellum;0;f;Søndre Ål Sportsklubb;NO;Serie;K20-22;00:00:00.000;Mål;55.0;OK;31;0;4;3033332;Team Lygna skiskyting;55.0;8596020;2:23:16.0;Mangler 3;0;623699;NOR;21.0;1458700;24:18.7;1:15.6;14.0;2874820;47:54.8;5:09.6;;;;;;;;;;;;;;;;;20.0;2690800;44:50.8;5:07.5;0.0;1571700;26:11.7;4:11.6;;;;;;;;
32;Ingrid Stølan;Husøy;0;f;Molde og Omegn IF;NO;Serie;K20-22;00:00:00.000;Mål;51.0;OK;32;0;8;4077222;Trondheim Biathlon Team;51.0;16291800;4:31:31.8;Mangler -1;0;623699;NOR;0.0;1594400;26:34.4;3:31.3;0.0;3202880;53:22.8;10:37.6;0.0;2293300;38:13.3;6:01.8;5.0;1406320;23:26.3;3:01.6;11.0;1502200;25:02.2;2:14.2;5.0;2229000;37:09.0;6:14.5;18.0;2702600;45:02.6;5:19.3;0.0;1619800;26:59.8;4:59.7;9.0;2058600;34:18.6;3:15.2;3.0;1595800;26:35.8;2:42.4
33;Marte Eriksen;Hensema;0;f;Bødalen IF;NO;Serie;K20-22;00:00:00.000;Mål;47.0;OK;33;0;7;5774800;;47.0;14289550;3:58:09.5;21:18.570;0;623699;NOR;;;;;;;;;0.0;2568550;42:48.5;10:37.0;;;;;5.0;1543600;25:43.6;2:55.6;9.0;2165300;36:05.3;5:10.8;10.0;2843700;47:23.7;7:40.4;11.0;1483700;24:43.7;2:43.6;4.0;2112400;35:12.4;4:09.0;8.0;1572300;26:12.3;2:18.9
34;Tori;Angell;0;f;Odda IL;NO;Serie;K20-22;00:00:00.000;Mål;36.0;OK;34;0;7;813151;Team Glalaks;36.0;14601470;4:03:21.4;26:30.490;0;623699;NOR;4.0;1548300;25:48.3;2:45.2;0.0;3137650;52:17.6;9:32.4;17.0;2080630;34:40.6;2:29.1;0.0;1850990;30:50.9;10:26.2;9.0;1506200;25:06.2;2:18.2;0.0;0;0:00.0;30:54.5;6.0;2879300;47:59.3;8:16.0;0.0;1598400;26:38.4;4:38.3;0.0;2305900;38:25.9;7:22.5;0.0;1647100;27:27.1;3:33.7
35;Sanna;Bjørkli;0;f;Froland IL;NO;Serie;K20-22;00:00:00.000;Mål;36.0;OK;35;0;8;4132500;Sirdal Ski;36.0;16616210;4:36:56.2;Mangler -1;0;623699;NOR;0.0;1625600;27:05.6;4:02.5;0.0;3208910;53:28.9;10:43.7;0.0;2302790;38:22.7;6:11.2;0.0;1462410;24:22.4;3:57.7;16.0;1469300;24:29.3;1:41.3;12.0;2127600;35:27.6;4:33.1;0.0;2915200;48:35.2;8:51.9;8.0;1504400;25:04.4;3:04.3;0.0;2197600;36:37.6;5:34.2;0.0;1716900;28:36.9;4:43.5
36;Synne Håstul;Flom;0;f;Drangedal Idrettslag - Skiskyting;NO;Serie;K20-22;00:00:00.000;Mål;35.0;OK;36;0;8;2965231;Team TeVe;35.0;16475220;4:34:35.2;Mangler -1;0;623699;NOR;6.0;1541700;25:41.7;2:38.6;6.0;2990280;49:50.2;7:05.0;14.0;2122440;35:22.4;3:10.9;0.0;1497800;24:57.8;4:33.1;0.0;1573900;26:13.9;3:25.9;0.0;2347500;39:07.5;8:13.0;4.0;2883600;48:03.6;8:20.3;5.0;1518000;25:18.0;3:17.9;0.0;2243100;37:23.1;6:19.7;0.0;1652600;27:32.6;3:39.2
